"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"archimate_type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-synoniemen";"GGM-synoniemen";"GEMMA-bron";"GGM-bron";"GEMMA-url";"GEMMA-alternate-name";"GEMMA-subtypes";"domein-iv3";"domein-dcat";"Datum-tijd-export"
"11";"AanduidingVerblijfsrecht";"AanduidingVerblijfsrecht";"c5346a86-b511-420a-be6b-f431668f28fc";"EAID_EBE4A0C9_9281_4750_8E70_AF70A549CD6B";"business-object";"class";"";"Aanduiding in verband met het verblijfsrecht van de vreemdeling.";"Aanduiding in verband met het verblijfsrecht van de vreemdeling.";"";"";"";"";"BRP";"";"https://gemmaonline.nl/index.php/GEMMA/id-c5346a86-b511-420a-be6b-f431668f28fc";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"12";"Aankondiging";"Aankondiging";"11a5fd2d-0237-4e70-b859-d1e26456553b";"EAID_BB135B0E_A2C2_4681_BD91_30863F8B3D70";"business-object";"class";"";"Aankondiging van een Nationale of Europese aanbesteding";"Aankondiging van een Nationale of Europese aanbesteding";"";"";"Kennisgeving, Bekendmaking";"Kennisgeving, Bekendmaking";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-11a5fd2d-0237-4e70-b859-d1e26456553b";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
"13";"";"AanleverendeOrganisatie";"";"EAID_3109FEF3_A1CB_4f50_800B_376A18465F9F";"";"class";"";"";"Organisatie de data aanlevert aan het CBS. Het kan hier gaan om de gemeente zelf, of een partij die namens de gemeente uitvoering geeft aan de afhandeling van vroegsignalen.";"";"";"";"";"";"";"";"";"";"Schulden > Vroegsignalering";"";"09072026-00:43:48"
"14";"";"Aanmelding";"";"EAID_1CE06538_3F4A_45ac_AE86_30A4250D3608";"";"class";"";"";"Moment dat een persoon met een hulpvraag komt rondom (dreigende) schulden. Dit kan een persoonlijke, schriftelijke, digitale of telefonische vraag zijn.";"";"";"";"";"";"";"";"";"";"Schulden > Schuldhulpverlening";"";"09072026-00:43:48"
"15";"";"Aansluitput";"";"EAID_401EC4C0_809B_48F0_9646_0F646A8F1AE";"";"class";"";"";"Type put met de functie aansluitleidingen aansluiten";"";"";"";"";"";"";"";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"16";"";"Aantal Gehinderden";"";"EAID_C00A2866_8F7D_4be3_A676_794C9A477556";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"2 Verkeer, Vervoer en Waterstaat > Mobiliteit";"";"09072026-00:43:48"
"17";"";"Aantekening";"";"EAID_755B80B2_6522_4c58_A998_D3F00859FE78";"";"class";"";"";"Een Aantekening is een aanvulling op de registratie van een registergoed met betrekking tot feiten die gevolgen kunnen hebben voor de uitoefening van de rechten op dit registergoed.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"18";"Aanvraag";"Aanvraag";"6c992a39-ca0b-4d4c-b749-fe8167af540d";"EAID_2F2A3590_9B34_4ec5_B0AE_B487ED241155";"business-object";"class";"";"(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.";"(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-6c992a39-ca0b-4d4c-b749-fe8167af540d";"Aanvraag (Archief)";"";"Erfgoed > Archief";"";"09072026-00:43:48"
"19";"";"Aanvraag";"";"EAID_208D605F_BDE5_700A_13F6_281C3303691F";"";"class";"";"";"Het officiële verzoek met het oogmerk om te komen tot toelating tot de dienstverlening zoals beschreven in de Participatiewet, schriftelijk ingediend bij het bestuursorgaan dat bevoegd is op het verzoek te beslissen. Het verzoek moet voldoen aan de wettelijke vereisten zoals bepaald in artikel 4.2 van de Algemene Bestuurswet.";"";"";"";"";"";"";"";"";"";"Inkomen > Diensten";"";"09072026-00:43:48"
"20";"Aanvraag";"Aanvraag";"b8b3fe1a-ea07-49a3-8580-4291afa6f26d";"EAID_446E3931_B9F2_4b5c_80E7_5B240B8F816F";"business-object";"class";"";"(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.";"(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.";"";"";"Verzoek";"Verzoek";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-b8b3fe1a-ea07-49a3-8580-4291afa6f26d";"Aanvraag (ICT)";"";"9 Interne Organisatie > ICT";"";"09072026-00:43:48"
"21";"AanvraagInkooporder";"Aanvraag Inkooporder";"8d9233d7-dfb9-4b87-bab2-61631a632f95";"EAID_33E5EA10_F43A_4966_B9C1_875F0E2C1B52";"business-object";"class";"";"het betreft hier het formulier 'Aanvraag Inkooporder'";"het betreft hier het formulier 'Aanvraag Inkooporder'";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-8d9233d7-dfb9-4b87-bab2-61631a632f95";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
"22";"Aanvraag Leerlingenvervoer";"Aanvraag Leerlingenvervoer";"41c1c340-9952-4bd9-8f45-fec2c0a1ddd7";"EAID_07F40D10_74AC_4f56_8B71_A236A63C2122";"business-object";"class";"business-object";"Verzoek van ouders aan de gemeente om een vervoersvoorziening voor hun kind.";"Een aanvraag voor een leerling die recht heeft op vervoer van en naar onderwijs.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-41c1c340-9952-4bd9-8f45-fec2c0a1ddd7";"";"";"4 Onderwijs > Leerplicht en Leerlingenvervoer";"";"09072026-00:43:48"
"23";"";"Aanvraag verlenging Inburgeringstermijn";"";"EAID_63D30089_AD78_4c29_9D17_160FE4A242E8";"";"class";"";"";"Een Aanvraag verlenging inburgeringstermijn is een verzoek van een inburgeringsplichtige aan het college van burgemeester en wethouders tot verlenging van de inburgeringstermijn op grond van persoonlijke omstandigheden als bedoeld in artikel 7.3, tweede lid, van de Wet inburgering 2021.";"";"•	De aanvraag wordt ingediend bij de gemeente waarin de inburgeringsplichtige woont.
	•	Redenen voor verlenging kunnen onder andere zijn: medische beperkingen, zwangerschap, mantelzorg, psychische problematiek of detentie.
	•	De verlenging kan alleen worden verleend als er sprake is van aantoonbare belemmeringen die het afronden van het inburgeringstraject binnen de standaardtermijn (drie jaar) onmogelijk maken.
	•	De gemeente besluit op de aanvraag, eventueel na het inwinnen van advies of aanvullende informatie.";"";"";"";"";"";"";"";"6 Sociaal Domein > Inburgering";"";"09072026-00:43:48"
"24";"Aanvraag of melding";"AanvraagOfMelding";"13ede1f8-bf63-4da6-abbd-cdc18b7ec39a";"EAID_66E2B5BA_44A0_4fde_AE33_E211EE4832C2";"business-object";"class";"business-object";"Komt overeen met een VJV Bron: GEM_VJV (Distinct op REQ_ID) ID: REQ_ID";"Komt overeen met een VJV";"Via het Omgevingsloket kunnen initiatiefnemers een vergunningaanvraag of een melding indienen in het Digitaal Stelsel Omgevingswet (DSO). Duidelijke stappen en vragen leiden hen door dit proces. De overheid vertaalt hiervoor indieningsvereisten naar toepa";"Via het Omgevingsloket kunnen initiatiefnemers een vergunningaanvraag of een melding indienen in het Digitaal Stelsel Omgevingswet (DSO). Duidelijke stappen en vragen leiden hen door dit proces. De overheid vertaalt hiervoor indieningsvereisten naar toepa";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-13ede1f8-bf63-4da6-abbd-cdc18b7ec39a";"AanvraagOfMelding (Leerplicht en Leerlingenvervoer)";"";"4 Onderwijs > Leerplicht en Leerlingenvervoer";"";"09072026-00:43:48"
"25";"Aanvraag of melding";"AanvraagOfMelding";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"business-object";"class";"business-object";"Komt overeen met een VJV Bron: GEM_VJV (Distinct op REQ_ID) ID: REQ_ID";"Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"AanvraagOfMelding (Dienstverlening)";"";"10 Dienstverlening";"";"09072026-00:43:48"
"26";"";"AanvraagStadspas";"";"EAID_16F94A03_C376_4314_94AA_4DB14AD00EB9";"";"class";"";"";"Te specifiek. AanvraagGemeentepas";"";"";"";"";"";"";"";"";"";"6 Sociaal Domein > Sociaal Domein Generiek";"";"09072026-00:43:48"
"27";"";"AanvraagVrijstelling";"";"EAID_450F47A7_758F_400c_82EB_05535EBDD426";"";"class";"";"";"Vrijstelling van een aanvraag voor leerlingenvervoer";"";"";"";"";"";"";"";"";"";"4 Onderwijs > Leerplicht en Leerlingenvervoer";"";"09072026-00:43:48"
"28";"Aanvraagdata";"Aanvraagdata";"6f15e2ca-531d-4879-b087-f43559d8c3fd";"EAID_1F68C981_7E16_4368_8867_CA00AEB08A04";"business-object";"class";"";"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM";"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-6f15e2ca-531d-4879-b087-f43559d8c3fd";"";"";"10 Dienstverlening";"";"09072026-00:43:48"
"29";"";"Aanvraagtype";"";"EAID_04035B37_1A5F_CC83_48D3_281C33030BAF";"";"class";"";"";"Een door de gemeente vastgestelde set van diensttypen die met één aanvraag kan worden aangevraagd.";"";"";"";"";"";"";"";"";"";"Inkomen > Diensten";"";"09072026-00:43:48"
"30";"Aanwezige Deelnemer";"Aanwezige Deelnemer";"ccf78bc5-8d4a-440f-a642-abcf60149628";"EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D";"business-object";"class";"business-object";"Iemand die deelneemt aan een college- of raadsvergadering.";"iemand die meedoet aan eencollege- of raadsvergadering";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-ccf78bc5-8d4a-440f-a642-abcf60149628";"";"";"0 Bestuur, Politiek en Ondersteuning > Griffie";"";"09072026-00:43:48"
"31";"Aanwezige Deelnemer";"Aanwezige Deelnemer";"ccf78bc5-8d4a-440f-a642-abcf60149628";"EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D";"business-object";"class";"business-role";"De hoedanigheid van deelname aan een college- of raadsvergadering, met aanvang en einde van de aanwezigheid.";"iemand die meedoet aan eencollege- of raadsvergadering";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-ccf78bc5-8d4a-440f-a642-abcf60149628";"";"";"0 Bestuur, Politiek en Ondersteuning > Griffie";"";"09072026-00:43:48"
"32";"";"AardAantekening";"";"EAID_BE0C0747_E9CD_4ae1_A83C_94A724513C7B";"";"class";"";"";"Een opsomming van de diverse aarden van de aantekeningen zoals door de Dienst Kadaster is onderscheiden.";"";"<memo>";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"33";"";"AardFiliatie";"";"EAID_1453EF69_1E5E_49ae_8510_A68652374710";"";"class";"";"";"Een opsomming van redenen waarom kadastrale onroerende zaken aan elkaar gerelateerd kunnen zijn";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"34";"";"AardZakelijkRecht";"";"EAID_AC4F4A9C_1623_4447_9813_0722CDD58E66";"";"class";"";"";"Een opsomming van de diverse aarden van het zakelijk rechten zoals door de Dienst Kadaster is onderscheiden.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"35";"";"AcademischeTitel";"";"EAID_B2857D85_8135_461e_90FF_A2E3DDD9981D";"";"class";"";"";"Een formeel via het Staatsblad gepubliceerde aanduiding van een wetenschappelijke of andere graad van opleiding welke bij aanschrijving voorafgaat aan de voornamen (dan wel de daarvan afgeleide naamgegevens) dan wel volgt op de achternaam.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"36";"";"Actie";"";"EAID_DDE9A5B3_1E56_4058_8D12_A774F43B5D26";"";"class";"";"";"Kleinst mogelijke eenheid van werk die zinvol onderscheiden kan worden, uitgevoerd door een persoon of machine op 1 plek op 1 moment.";"";"bron: Bedrijfsarchitectuur op basis van Novius Architectuur Methode, code: 6.2.4";"";"";"";"";"";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"37";"Activa";"Activa";"e83e86ad-4769-41ce-91c7-675e93441074";"EAID_7B8D0A8F_07BF_42bf_90B3_28A72BD4401A";"business-object";"class";"business-object";"Bezittingen van een onderneming op een boekhoudkundige balans";"Bezittingen van een onderneming op een boekhoudkundige balans";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-e83e86ad-4769-41ce-91c7-675e93441074";"";"";"9 Interne Organisatie > Financien";"";"09072026-00:43:48"
"38";"";"Activasoort";"";"EAID_2483BD14_7FA7_4514_A565_C7F7967E226D";"";"class";"";"";"Typering van activa";"";"";"";"";"";"";"";"";"";"9 Interne Organisatie > Financien";"";"09072026-00:43:48"
"39";"Risicobron";"Activiteit";"b9283c74-797a-4a79-83a7-ca5619ef8b1d";"EAID_A1C60F39_3074_4d1c_A37D_5F431F54DF92";"business-object";"class";"business-object";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"Bijvoorbeeld: het lozen van afvalwater, het bouwen van hoogbouw, het exploiteren van een jachthaven. Het objecttype activiteit is een typering van alle activiteiten die bijvoorbeeld een initiatiefnemer kan uitvoeren in de leefomgeving. Er wordt geen speci";"Bijvoorbeeld: het lozen van afvalwater, het bouwen van hoogbouw, het exploiteren van een jachthaven. Het objecttype activiteit is een typering van alle activiteiten die bijvoorbeeld een initiatiefnemer kan uitvoeren in de leefomgeving. Er wordt geen speci";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-b9283c74-797a-4a79-83a7-ca5619ef8b1d";"Activiteit (Museum)";"";"5 Sport, Cultuur en Recreatie > Musea";"";"09072026-00:43:48"
"40";"Activiteit";"Activiteit";"8deec5da-a06a-4159-9b20-e9f9ff24674e";"EAID_8BE600D0_EBF4_475b_8801_F387A5D39009";"business-object";"class";"business-object";"Gereguleerd menselijk handelen of nalaten in de fysieke leefomgeving waarvoor regels gelden in het omgevingsplan.";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-8deec5da-a06a-4159-9b20-e9f9ff24674e";"Activiteit (Omgevingswet)";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Omgevingswet";"";"09072026-00:43:48"
"41";"Risicobron";"Activiteit";"8deec5da-a06a-4159-9b20-e9f9ff24674e";"EAID_8BE600D0_EBF4_475b_8801_F387A5D39009";"business-object";"class";"business-object";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-8deec5da-a06a-4159-9b20-e9f9ff24674e";"Activiteit (Omgevingswet)";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Omgevingswet";"";"09072026-00:43:48"
"42";"";"Activiteit Omgevingswet";"";"EAID_9547BC67_7488_4d9a_B651_2B69A62D789F";"";"class";"";"";"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd.";"";"";"";"";"";"";"";"";"";"1 Veiligheid en Vergunningen";"";"09072026-00:43:48"
"43";"";"Activiteitsoort";"";"EAID_D77AB8CF_E4B1_49fd_BE78_FE358FF76F13";"";"class";"";"";"Typering van een activiteit";"";"";"";"";"";"";"";"";"";"5 Sport, Cultuur en Recreatie > Musea";"";"09072026-00:43:48"
"44";"";"AdresBuitenland";"";"EAID_3E5B2877_D6CC_487e_BD79_042E32D17550";"";"class";"";"";"Toevoeging uit stelselcatalogus";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"45";"";"AdresType";"";"EAID_1CC1C0D1_DFAB_FCF5_8683_26EBD163F594";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"6 Sociaal Domein > Sociaal Domein Generiek";"";"09072026-00:43:48"
"46";"";"Adresaanduiding";"";"EAID_909E635B_E33D_4ded_8471_900CD175B7D1";"";"class";"";"";"De adresaanduiding van het WOZ-OBJECT";"";"";"";"";"";"";"";"";"";"9 Interne Organisatie > Vastgoed";"";"09072026-00:43:48"
"47";"";"Adresaanduiding";"";"EAID_C14C1D0E_2EE3_4d79_B7AB_BC0B7686FEF4";"";"class";"";"";"De adresaanduiding van het WOZ-OBJECT";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"48";"ADRESSEERBAAR OBJECT";"AdresseerbaarObject";"460ada62-9cdd-478f-9555-4fb161ebc0b3";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"business-object";"class";"";"Een adresseerbaar object is een object waaraan formeel adressen kunnen en moeten worden toegekend: een verblijfsobject, standplaats of ligplaats.
Toelichting: Een object dat een adres heeft of krijgt. Adresseerbare objecten zijn: een verblijfsobject, een standplaats en een ligplaats.";"Een adresseerbaar object is een object waaraan formeel adressen kunnen en moeten worden toegekend: een verblijfsobject, standplaats of ligplaats. Toelichting: Een object dat een adres heeft of krijgt. Adresseerbare objecten zijn: een verblijfsobject, een standplaats en een ligplaats.";"";"";"";"";"IMBAG";"";"https://gemmaonline.nl/index.php/GEMMA/id-460ada62-9cdd-478f-9555-4fb161ebc0b3";"";"";"99 Kern > BAG";"";"09072026-00:43:48"
"49";"AdresseerbaarObjectAanduiding";"AdresseerbaarObjectAanduiding";"cc3c2d8f-cb2f-4e39-a220-bff533892688";"EAID_BA35A5E2_5A1D_4328_91CD_D51694ED5FBA";"business-object";"class";"";"Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.";"Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.";"";"Zie de toelichting in de Catalogus BAG. In aanvulling hierop het volgende. Het betreft alle gegevens en relaties van de NUMMERAANDUIDING zoals deze in de BAG gedefinieerd zijn. NUMMERAANDUIDING is gemodelleerd als een specialisatie van ADRESSEERBAAR OBJECT AANDUIDING. Daar bij overige (officieel vastgestelde) adressen deels vergelijkbare gegevens en relaties van toepassing zijn, zijn desbetreffende gegevens gemodelleerd bij ADRESSEERBAAR OBJECT AANDUIDING, de verzameling van nummeraanduidingen en overige adresseerbaar object aanduidingen.";"";"";"BAG";"";"https://gemmaonline.nl/index.php/GEMMA/id-cc3c2d8f-cb2f-4e39-a220-bff533892688";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"50";"Aflossing";"Aflossing";"";"EAID_196161F4_8372_6334_AF08_263C236F7A38";"";"class";"business-object";"Een aflossing is de betaling van een afgesproken of opgelegd bedrag op een vordering.";"Een aflossing is de betaling van een afgesproken of opgelegd bedrag op een vordering. Een aflos-sing gebeurt in het kader van een aflossingsafspraak gemaakt bij een vordering of wordt eenzijdig opgelegd. De aflossing wordt geadministreerd als een vorderingscomponent onder die vordering. Afgesproken is minnelijk maar kan ook opgelegd worden, bijv 5% verrekening of beslag op loon.";"";"";"";"";"";"";"";"";"";"Inkomen > Terug- en invordering";"";"09072026-00:43:48"
"51";"";"Aflossingsafspraak";"";"EAID_0F06241B_EBEF_4053_33E4_263C236F76FC";"";"class";"";"";"Een aflossingsafspraak is een onderdeel van het aflossingsplan. Het is een afspraak over hoe en wanneer het opgelegde bedrag wordt afgelost. Het opgelegde bedrag is het bedrag is de hele vordering of het bdrag na verrekening of beslag.Elke afspraak in het aflossingsplan bepaalt welk bedrag afgelost wordt op welke vordering vanaf een zekere startdatum per tijdseenheid (doorgaans een maand).";"";"";"";"";"";"";"";"";"";"Inkomen > Terug- en invordering";"";"09072026-00:43:48"
