"beleidsdomein_guid";"beleidsdomein_naam";"is_taakveld";"taakveld";"definitie";"toelichting"
"EAPK_993A1256_FC98_487a_BAB2_EE71CAC76F98";"Bouwen en Wonen";"nee";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"Het informatiedomein dat gegevens omvat over de planning, ontwikkeling en uitvoering van woningbouwprojecten, gericht op het realiseren van voldoende, betaalbare en duurzame woningen.";""
"EAPK_C84D590F_615F_4671_B4C2_7610C80F33F4";"Burgerzaken";"nee";"0 Bestuur, Politiek en Ondersteuning";"Het informatiedomein dat gegevens omvat over de registratie en dienstverlening met betrekking tot de persoonlijke levenssfeer van inwoners, gericht op het vastleggen en verstrekken van officiële documenten en informatie.";""
"EAPK_7EBCDBB1_6E9C_4f09_AE96_71822F2CC050";"Dak- en thuislozen";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over mensen zonder vaste woon- of verblijfplaats, gericht op het in kaart brengen van de omvang, kenmerken en ondersteuningsbehoeften van deze doelgroep.";""
"EAPK_21489181_D319_96D3_FC70_281C3303E934";"Diensten";"nee";"6 Sociaal Domein";"Het Dienstenmodel biedt een gestructureerde weergave van de processen en objecttypen die betrokken zijn bij het leveren van diensten binnen het sociaal domein. Het model richt zich op de relaties tussen aanvragen, besluiten, rechten en voorwaarden die de basis vormen voor het verstrekken van voorzieningen.";""
"EAPK_44E38F87_AE1C_45c6_B0AB_1366F32ADB28";"Erfgoed";"nee";"5 Sport, Cultuur en Recreatie";"";""
"EAPK_4F010A09_D9D0_4bcf_A233_8430F8EFE54A";"Financien";"nee";"9 Interne Organisatie";"Het informatiesubdomein dat gegevens omvat over de financiële processen, planning en control, en het financieel beheer van de organisatie.";""
"EAPK_69713AD3_FECC_4964_8F11_79C8755F710E";"Gemeentebegrafenissen";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over gemeentelijke uitvaarten, uitgevoerd wanneer niemand anders in de lijkbezorging voorziet, zoals vastgelegd in de Wet op de lijkbezorging.";""
"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"nee";"6 Sociaal Domein";"Alle generieke objecttypen die zowel voor de Wmo als voor uitvoering van de jeugdwet worden gebruikt";""
"EAPK_4D0C0DDA_ACE2_4e71_8915_2295B450CE2A";"Generieke Entiteiten Erfgoed";"nee";"5 Sport, Cultuur en Recreatie";"Alle generieke objecttypen die gebruikt worden door de verschillende erfgoeddomeinen";""
"EAPK_462ADAB3_19AB_405b_9BB5_0951DA70BFA0";"Griffie";"nee";"0 Bestuur, Politiek en Ondersteuning";"Het informatiedomein dat gegevens omvat over de ondersteuning van de gemeenteraad en de organisatie van raadsprocessen, gericht op het faciliteren van besluitvorming en democratische controle.";""
"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"nee";"9 Interne Organisatie";"Het informatiesubdomein dat gegevens omvat over het beheer en de ontwikkeling van personeel, gericht op het ondersteunen van de organisatie en haar medewerkers.";""
"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"nee";"9 Interne Organisatie";"Het informatiesubdomein dat gegevens omvat over de informatietechnologie en communicatiesystemen die de interne processen en informatievoorziening van een organisatie ondersteunen.";""
"EAPK_59E49EEB_D8EB_4e49_A5E2_62244987690E";"Inburgering";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de uitvoering van de Wet inburgering, gericht op het ondersteunen van inburgeraars bij hun integratie en participatie in de Nederlandse samenleving.";""
"EAPK_2AB7A09D_D0B6_4159_A23A_119C7935966B";"Inkomen";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over inkomensvoorzieningen, -regelingen en financiële ondersteuning voor inwoners, gericht op het waarborgen van bestaanszekerheid en participatie in de samenleving.";""
"EAPK_E593FB18_D458_4462_B5F2_0B37FA3AA722";"Inkoop";"nee";"9 Interne Organisatie";"Het informatiesubdomein dat gegevens omvat over het proces van het verwerven van goederen, diensten en werken door een organisatie.";""
"EAPK_361CB2CF_EE61_4679_A249_0B7B4A013226";"Jeugd";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de ondersteuning, hulp en bescherming van jeugdigen en hun gezinnen, gebaseerd op de Jeugdwet.";""
"EAPK_62D673ED_9400_4c5a_904C_A4DB16775C5B";"Jeugdbescherming en reclassering";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de uitvoering van kinderbeschermingsmaatregelen, gericht op het waarborgen van een veilige ontwikkeling van kinderen en jongeren.";""
"EAPK_F717C1C4_7FF4_4024_BDFE_7F424C8EC0E9";"Leerplicht en Leerlingenvervoer";"nee";"4 Onderwijs";"Het informatiedomein dat gegevens omvat over de naleving van de leerplichtwet en de organisatie van leerlingenvervoer, gericht op het waarborgen van toegang tot onderwijs voor alle kinderen en jongeren.";""
"EAPK_F02E1A98_4C66_444a_B20C_D4BA9AB6E121";"Meldingen Openbare Ruimte";"nee";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"Het informatiedomein dat gegevens omvat over meldingen van inwoners of organisaties betreffende zaken die niet in orde zijn in de openbare ruimte, gericht op het in stand houden van een schone, hele en veilige leefomgeving.";""
"EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F";"Mobiliteit";"nee";"2 Verkeer, Vervoer en Waterstaat";"Het informatiedomein dat de structuur, definities en relaties van gegevens omvat met betrekking tot verkeer en vervoer van personen en goederen, gericht op het faciliteren van efficiënte en duurzame mobiliteit.";""
"EAPK_7A13550B_AC75_4783_BD16_A9ED6E86172A";"Model Inkomen";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over inkomensvoorzieningen, -regelingen en financi&#235;le ondersteuning voor inwoners, gericht op het waarborgen van bestaanszekerheid en participatie in de samenleving.
";"<memo>"
"EAPK_45B88627_6F44_4b6d_BE77_3EC51BBE679E";"Monumenten";"nee";"5 Sport, Cultuur en Recreatie";"Het informatiedomein dat gegevens omvat over de aanwijzing, bescherming en instandhouding van monumenten, inclusief gebouwen, objecten en landschappen, die van cultuurhistorische, wetenschappelijke of esthetische waarde zijn.";""
"EAPK_968E06DC_172D_4e4f_9084_1F7B097620CC";"Musea";"nee";"5 Sport, Cultuur en Recreatie";"Het informatiedomein dat gegevens omvat over de verwerving, het beheer, het onderzoek en de presentatie van museale collecties en tentoonstellingen binnen een overheidsorganisatie.";""
"EAPK_1AF36C69_888E_945B_4A20_2632D26A4D4C";"Normafwijking";"nee";"6 Sociaal Domein";"Het onderdeel Normafwijking bricht zich op de registratie en afhandeling van situaties waarin een afwijking van de gestelde normen wordt geconstateerd bij inkomensvoorzieningen.";""
"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"nee";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"Het informatiedomein dat gegevens omvat over de uitvoering van de Omgevingswet, gericht op het integraal beheren en ontwikkelen van de fysieke leefomgeving.";""
"EAPK_914BE44C_2654_456f_A20E_C196DCEB20D9";"Onderwijs";"nee";"4 Onderwijs";"Het informatiedomein dat gegevens omvat over het funderend onderwijs, gericht op het waarborgen van toegang tot en kwaliteit van primair en voortgezet onderwijs voor kinderen en jongeren.";""
"EAPK_2883DC11_62ED_42cd_A0D6_855258F32079";"Organisatie-indeling";"nee";"9 Interne Organisatie";"Het informatiedomein dat gegevens omvat over de structuur en indeling van een organisatie, inclusief de inrichting en uitvoering van programma’s en projecten.";""
"EAPK_AF9ED49C_3050_4403_98C8_8DC06A705338";"Parkeren";"nee";"2 Verkeer, Vervoer en Waterstaat";"Het informatiedomein dat gegevens omvat over het stilstaan van voertuigen op een daarvoor bestemde plaats, met als doel het reguleren van parkeerruimte en het bevorderen van leefbaarheid, bereikbaarheid en mobiliteit binnen de gemeente.";""
"EAPK_FA375616_AD70_403d_87B1_659E433E7EC2";"Politiek";"nee";"0 Bestuur, Politiek en Ondersteuning";"Het informatiesubdomein dat gegevens omvat over de politieke organen van de gemeente, hun activiteiten en de ondersteuning daarvan.";""
"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"nee";"99 Kern";"Het subdomein dat gegevens omvat over gemeentelijke zaakgerichtheid, gebaseerd op RGBZ 1.0, met uitbreidingen voor specifieke toepassingen zoals leges en precario.";""
"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"nee";"99 Kern";"Het subdomein dat gegevens omvat over gemeentelijke basisgegevens, gebaseerd op het Referentiemodel Stelsel van Gemeentelijke Basisgegevens (RSGB) v2.0.2, aangevuld met specifieke uitbreidingen voor lokaal gebruik en aanvullingen uit RSGB v3.0.";""
"EAPK_1BEB04DF_888E_945B_4A20_2791BFAE4D4C";"Reden aanvraag";"nee";"6 Sociaal Domein";"Het onderdeel Reden aanvraag richt zich op de registratie en categorisatie van redenen waarom een cli&#235;nt een inkomensvoorziening aanvraagt. Dit model biedt een overzicht van de verschillende soorten redenen en hun onderlinge relaties, waardoor gemeenten deze informatie gestructureerd kunnen vastleggen en verwerken.";""
"EAPK_58435230_9E6D_406f_BC24_E07C11CD5CA6";"Schulden";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de ondersteuning en begeleiding van inwoners met problematische schulden, gericht op het bevorderen van financiële stabiliteit en maatschappelijke participatie.";""
"EAPK_B9861718_A0E9_4f16_B9CE_F1A09D0AD642";"Schuldhulpverlening";"nee";"6 Sociaal Domein";"Alle objecten die in het kader van schuldhulpverlening worden toegepast. Dit model is opgesteld in het kader van het programma DDAS (Data Delen Armoede en Schulden)";""
"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"nee";"6 Sociaal Domein";"Het domein met de generieke objecttypen die door de deeldomeinen van het sociaal domein gebruikt worden. ";""
"EAPK_AD5F9E9A_447A_43a0_A356_9913F19AB555";"Sociale Teams";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de integrale ondersteuning en hulpverlening die sociale teams bieden aan inwoners, gericht op het bevorderen van zelfredzaamheid, participatie en het oplossen van complexe problemen.";""
"EAPK_02364A0F_CCFA_46ba_BB30_BFCAB446F602";"Sport";"nee";"5 Sport, Cultuur en Recreatie";"Dit informatiedomein bevat data over collectiebeheer, tentoonstellingen, bezoekersaantallen en educatieve activiteiten van musea die onderdeel zijn van een overheidsorganisatie. Het ondersteunt de uitvoering van de museale functie conform de Erfgoedwet, inclusief het beheer van eventuele rijkscollecties. De gegevens worden gebruikt voor beleidsontwikkeling, verantwoording en publieksbereik van het cultureel erfgoed.";""
"EAPK_F079A58E_FB65_422e_BA86_5E810092E5E5";"Subsidies";"nee";"9 Interne Organisatie";"Het informatiedomein dat gegevens omvat over het proces van aanvragen, beoordelen, verstrekken, beheren en verantwoorden van subsidies door de organisatie, zowel in de rol van subsidieverstrekker als subsidieontvanger.";""
"EAPK_1AF9ED18_888E_945B_4A20_263C09D54D4C";"Terug- en invordering";"nee";"6 Sociaal Domein";"Het onderdeel Terug- en Invordering richt zich op de processen en gegevens rondom het terugvorderen en invorderen van onterecht verstrekte inkomensvoorzieningen. Dit model biedt een gestructureerde weergave van de objecttypen en hun onderlinge relaties die nodig zijn om deze financi&#235;le processen effectief te beheren.";""
"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"nee";"9 Interne Organisatie";"Het informatiedomein dat gegevens omvat over het beheer, onderhoud en de exploitatie van gebouwen en terreinen in eigendom van de organisatie.";""
"EAPK_680EBF5D_22CC_4678_BD03_1026113302CD";"Vroegsignalering";"nee";"6 Sociaal Domein";"";""
"EAPK_0CC177F3_B29B_4247_B010_1423D1561952";"Werk";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de ondersteuning van mensen bij het vinden en behouden van werk, gebaseerd op de Participatiewet en gericht op het bevorderen van arbeidsparticipatie.";""
"EAPK_75F72563_7EBB_494b_B561_A24114C49BC4";"Wmo";"nee";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over de ondersteuning en zorg die gemeenten bieden aan burgers om hun zelfredzaamheid en participatie in de maatschappij te bevorderen in het kader van de WMO, met als doel mensen zo lang mogelijk zelfstandig thuis te laten wonen.";""
